ID,propertyCode,thumbnail,numPhotos,floor,price,propertyType,size,exterior,rooms,bathrooms,province,municipality,district,neighborhood,latitude,longitude,showAddress,url,hasVideo,newDevelopment,hasLift,priceByArea
0,34953639,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRMExK41FF%2F8vKCOK5kJInHVpmWoSXL%2F5IEMaueFUIuInenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-1389754288,29,2,3200,flat,175,1,4,2,Barcelona,Barcelona,SarriÃ -Sant Gervasi,Sant Gervasi - La Bonanova,41.4009887,2.1340728,0,http://www.idealista.com/34953639,1,0,1,18
1,34953490,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRMIcaHwQ8Z6gEA2%2BXzPxt4fXnNnYnCdDsu08t9OGkbg3enbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=1326022748,6,3,900,flat,68,1,2,1,Barcelona,Barcelona,Ciutat Vella,El Raval,41.3729812,2.1731278,0,http://www.idealista.com/34953490,0,0,1,13
2,31058100,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRL%2BXT4NMs1sM8n9PCo60PGawKA0aICdV0%2BY4bByW536cenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-1943037112,21,0,900,flat,102,1,3,1,Barcelona,Badalona,Casagemes - CanyadÃ_,,41.4514736,2.2533031,1,http://www.idealista.com/31058100,0,0,0,9
4,34953388,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRNyqGovTAq5W3gJH7OZfwlmfly3KUXIUg0Lu3zPBhasFenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=874248819,6,3,900,flat,68,1,2,1,Barcelona,Barcelona,Sants-MontjuÃ¯c,El Poble Sec - Parc de MontjuÃ¯c,41.372675,2.1702429,0,http://www.idealista.com/34953388,0,0,1,13
5,34953366,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRHTZxYq6ViJeuy1HBXlqprx7u6Mqv8pkB5sFUFiypdB3enbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=613206093,28,4,1395,flat,150,1,4,2,Barcelona,Barcelona,GrÃ cia,La Salut,41.4119323,2.1601441,0,http://www.idealista.com/34953366,0,0,1,9
6,34953362,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRMExK41FF%2F8vKCOK5kJInHXdWMszNf%2FurTk7ip8HKm5HenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-825506865,22,4,1800,flat,150,1,3,2,Barcelona,Sitges,Centre,,41.2371699,1.80525,0,http://www.idealista.com/34953362,0,0,0,12
7,34953296,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRGiIwNe%2FQKEdJg7j%2BgC2M3UVCoLVQdJx9BFd%2Bh1zWXtUenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=1878822383,7,0,2400,studio,200,1,0,2,Barcelona,Barcelona,GrÃ cia,Vila de GrÃ cia,41.402256,2.1603099,0,http://www.idealista.com/34953296,0,0,0,12
8,31460261,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRG%2FpJGpcrqm3op2184x3UG4sUm5UY0PWF%2FgrhOfuXP5venbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=2128239908,13,3,1590,flat,85,1,3,2,Barcelona,Barcelona,SarriÃ -Sant Gervasi,SarriÃ ,41.3979962,2.1220738,0,http://www.idealista.com/31460261,0,0,1,19
9,34953290,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRI6ElQZuyKKKw%2Fozkt8Mw8FLwYXCUKzcoDxr%2Bn9ntkkBenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=547293561,13,1,750,flat,46,1,1,1,Barcelona,Barcelona,SarriÃ -Sant Gervasi,Sant Gervasi - La Bonanova,41.4074183,2.1344258,0,http://www.idealista.com/34953290,0,0,1,16
10,34953237,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRBXp7qp3fRJhlGKUkl7o6H87R59KrIZdlNRig%2F%2B2CAkaenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-294357272,4,2,625,flat,85,0,3,1,Barcelona,Molins de Rei,,,41.4092715,2.0216886,0,http://www.idealista.com/34953237,0,0,0,7
