,floor,price,size,exterior,rooms,bathrooms,latitude,longitude,hasLift,priceByArea
0,2,3200.0,175.0,1,4.0,2,41.4009887,2.1340728,1,18.0
1,3,900.0,68.0,1,2.0,1,41.3729812,2.1731278,1,13.0
2,0,900.0,102.0,1,3.0,1,41.4514736,2.2533031,0,9.0
4,3,900.0,68.0,1,2.0,1,41.372675,2.1702429,1,13.0
5,4,1395.0,150.0,1,4.0,2,41.4119323,2.1601441,1,9.0
6,4,1800.0,150.0,1,3.0,2,41.2371699,1.80525,0,12.0
7,0,2400.0,200.0,1,0.0,2,41.402256,2.1603099,0,12.0
8,3,1590.0,85.0,1,3.0,2,41.3979962,2.1220738,1,19.0
9,1,750.0,46.0,1,1.0,1,41.4074183,2.1344258,1,16.0
10,2,625.0,85.0,0,3.0,1,41.4092715,2.0216886,0,7.0
11,1,890.0,70.0,1,2.0,1,41.4115282,2.1494044,0,13.0
12,2,1150.0,60.0,1,2.0,1,41.4060608,2.167312,1,19.0
13,3,1900.0,80.0,1,3.0,2,41.3762886,2.1662371,1,24.0
15,7,1800.0,103.0,1,3.0,2,41.4017785,2.1247653,1,17.0
16,3,1450.0,90.0,1,3.0,2,41.3869754,2.157967,1,16.0
17,0,1200.0,220.0,0,4.0,2,41.5227306,2.3682032,0,5.0
18,3,1400.0,120.0,1,3.0,2,41.2362576,1.8183063,0,12.0
19,4,2650.0,200.0,1,4.0,3,41.3943643,2.1287287,1,13.0
20,4,3000.0,120.0,1,5.0,2,41.3832479,2.1835719,1,25.0
21,2,2800.0,190.0,1,5.0,2,41.3822373,2.1808029,0,15.0
22,0,4500.0,750.0,0,7.0,6,41.52753,2.36815,0,6.0
23,0,580.0,88.0,0,2.0,1,41.539997,1.8707429,1,7.0
24,3,1575.0,84.0,1,2.0,1,41.42129,2.15156,1,19.0
25,4,1350.0,80.0,1,2.0,1,41.3873881,2.1560198,1,17.0
26,7,2000.0,100.0,1,2.0,1,41.3990289,2.1750086,1,20.0
27,1,850.0,45.0,1,1.0,1,41.3868049,2.1702188,0,19.0
28,2,2800.0,200.0,1,3.0,2,41.3965346,2.1651822,1,14.0
29,0,1200.0,58.0,1,1.0,2,41.3777585,2.1729066,0,21.0
30,2,1300.0,75.0,1,2.0,1,41.3937752,2.157771,0,17.0
31,1,1300.0,80.0,1,2.0,1,41.3944574,2.1556637,1,16.0
32,5,1200.0,94.0,1,3.0,1,41.4051372,2.1773517,1,13.0
33,5,4200.0,260.0,1,7.0,2,41.4000228,2.1521945,1,16.0
34,2,750.0,65.0,1,3.0,2,41.3759707,2.1711161,0,12.0
35,1,800.0,55.0,0,1.0,1,41.4111778,2.1727669,1,15.0
36,3,680.0,40.0,1,1.0,1,41.3825628,2.1636231,0,17.0
38,4,950.0,80.0,1,3.0,2,41.4928724,2.3613261,1,12.0
39,0,1550.0,150.0,0,4.0,2,41.240274,1.824905,0,10.0
