,rooms,bathrooms,exterior,hasLift,size,floor,longitude,latitude,price,hasParkingSpace,isParkingSpaceIncludedInPrice,0,chalet,flat,0,good,renew
1,4.0,2.0,1.0,1.0,125.0,6.0,2.2165285,41.4083022,2600.0,1.0,1.0,0,0,1,0,1,0
2,3.0,2.0,1.0,1.0,107.0,6.0,2.2116225,41.4062388,2400.0,0.0,0.0,0,0,1,0,1,0
3,4.0,2.0,1.0,1.0,130.0,1.0,2.1779788,41.3842834,2000.0,0.0,0.0,0,0,1,0,1,0
4,2.0,1.0,0.0,1.0,70.0,2.0,2.1658619,41.397875,1000.0,0.0,0.0,0,0,1,0,1,0
5,3.0,1.0,1.0,1.0,75.0,2.0,2.13782,41.35947,750.0,0.0,0.0,0,0,1,0,1,0
6,0.0,1.0,1.0,0.0,30.0,0.0,2.1885794,41.3788783,850.0,0.0,0.0,0,0,1,0,1,0
7,1.0,1.0,1.0,0.0,78.0,4.0,2.1662008,41.3806162,1200.0,0.0,0.0,0,0,1,0,1,0
8,3.0,2.0,0.0,1.0,88.0,1.0,2.0640381,41.4877576,1200.0,1.0,1.0,0,0,1,0,1,0
9,2.0,1.0,1.0,1.0,55.0,1.0,2.1448437,41.3897099,1300.0,0.0,0.0,0,0,1,0,1,0
10,2.0,1.0,1.0,0.0,53.0,1.0,2.1638323,41.3734916,850.0,0.0,0.0,0,0,1,0,1,0
11,4.0,2.0,1.0,1.0,95.0,1.0,2.1765351,41.4250718,900.0,0.0,0.0,0,0,1,0,1,0
12,1.0,1.0,0.0,1.0,45.0,4.0,2.168053,41.3932245,1400.0,0.0,0.0,0,0,1,0,1,0
13,3.0,1.0,1.0,1.0,95.0,4.0,2.1295172,41.3854309,1500.0,0.0,0.0,0,0,1,0,1,0
14,3.0,2.0,1.0,1.0,85.0,3.0,2.1817744,41.4064052,1200.0,0.0,0.0,0,0,1,0,1,0
15,1.0,1.0,1.0,1.0,60.0,1.0,2.1747399,41.3811611,850.0,0.0,0.0,0,0,1,0,1,0
16,2.0,2.0,1.0,1.0,90.0,1.0,2.1695705,41.37937,1200.0,0.0,0.0,0,0,1,0,1,0
17,3.0,1.0,1.0,1.0,90.0,5.0,2.1888432,41.4133902,990.0,0.0,0.0,0,0,1,0,1,0
20,2.0,2.0,1.0,1.0,55.0,1.0,2.2033867,41.4107707,1050.0,0.0,0.0,0,0,1,0,1,0
21,2.0,2.0,1.0,0.0,95.0,2.0,2.1762199,41.3821448,1850.0,0.0,0.0,0,0,1,0,1,0
23,2.0,2.0,1.0,0.0,80.0,3.0,2.1447471,41.3752832,1100.0,0.0,0.0,0,0,1,0,1,0
24,3.0,1.0,1.0,1.0,61.0,4.0,2.1773806,41.462246,715.0,0.0,0.0,0,0,1,0,1,0
25,1.0,1.0,1.0,0.0,45.0,6.0,2.1828496,41.3861273,700.0,0.0,0.0,0,0,1,0,1,0
26,2.0,1.0,1.0,1.0,68.0,1.0,2.3518851,41.4858228,650.0,0.0,0.0,0,0,1,0,1,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0
28,3.0,1.0,0.0,1.0,102.0,2.0,2.1430007,41.404362,1200.0,0.0,0.0,0,0,1,0,1,0
29,1.0,1.0,1.0,0.0,35.0,3.0,2.1814725,41.3859761,750.0,0.0,0.0,0,0,1,0,1,0
30,2.0,2.0,1.0,1.0,85.0,7.0,2.1378484,41.3655705,1200.0,1.0,1.0,0,0,1,0,1,0
31,2.0,1.0,1.0,1.0,55.0,6.0,2.1201858,41.3792634,950.0,0.0,0.0,0,0,1,0,1,0
32,2.0,1.0,1.0,0.0,160.0,1.0,2.1389196,41.3721997,1150.0,0.0,0.0,0,0,1,0,1,0
33,1.0,1.0,1.0,1.0,35.0,5.0,2.1688109,41.4094107,990.0,0.0,0.0,0,0,1,0,1,0
34,3.0,2.0,1.0,1.0,87.0,3.0,2.1817744,41.4064052,1200.0,0.0,0.0,0,0,1,0,1,0
35,3.0,2.0,1.0,1.0,100.0,4.0,2.1741099,41.3899242,1900.0,0.0,0.0,0,0,1,0,1,0
36,0.0,2.0,1.0,0.0,80.0,1.0,2.1783459,41.3875578,1200.0,0.0,0.0,0,0,1,0,1,0
37,3.0,2.0,1.0,1.0,75.0,3.0,2.1519369,41.3782128,1200.0,0.0,0.0,0,0,1,0,1,0
38,2.0,2.0,1.0,1.0,70.0,1.0,2.1861802,41.3826202,1800.0,0.0,0.0,0,0,1,0,1,0
39,3.0,1.0,1.0,0.0,75.0,2.0,2.1030487,41.3693076,700.0,0.0,0.0,0,0,1,0,1,0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0
41,3.0,2.0,1.0,1.0,150.0,0.0,1.8619647,41.4424486,725.0,1.0,1.0,0,0,1,0,1,0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0
45,0.0,1.0,1.0,1.0,170.0,1.0,2.1365196,41.3704997,1150.0,0.0,0.0,0,0,1,0,1,0
47,2.0,1.0,1.0,1.0,55.0,1.0,2.112742,41.3701638,850.0,0.0,0.0,0,0,1,0,1,0
48,3.0,2.0,1.0,1.0,85.0,3.0,2.1812744,41.4044052,1200.0,0.0,0.0,0,0,1,0,1,0
50,2.0,1.0,1.0,1.0,62.0,2.0,2.1792629,41.3852759,1200.0,0.0,0.0,0,0,1,0,1,0
51,3.0,2.0,1.0,1.0,85.0,2.0,2.1826744,41.4044052,1200.0,0.0,0.0,0,0,1,0,1,0
52,3.0,2.0,0.0,1.0,85.0,3.0,2.1800748,41.4068466,1200.0,0.0,0.0,0,0,1,0,1,0
53,2.0,1.0,1.0,1.0,61.0,3.0,2.2096388,41.4062048,1200.0,0.0,0.0,0,0,1,0,1,0
54,3.0,1.0,1.0,1.0,95.0,1.0,2.1071752,41.5486698,650.0,0.0,0.0,0,0,1,0,1,0
55,1.0,1.0,1.0,0.0,52.0,1.0,2.1746088,41.3863658,750.0,0.0,0.0,0,0,1,0,1,0
56,2.0,1.0,1.0,1.0,65.0,2.0,1.8110758,41.2342481,900.0,0.0,0.0,0,0,1,0,1,0
57,4.0,2.0,1.0,0.0,90.0,1.0,2.1725038,41.3873121,1225.0,0.0,0.0,0,0,1,0,1,0
58,2.0,1.0,1.0,1.0,65.0,2.0,1.9818784,41.2695489,850.0,0.0,0.0,0,0,1,0,1,0
59,3.0,1.0,1.0,1.0,85.0,4.0,2.1819964,41.4065716,1200.0,0.0,0.0,0,0,1,0,1,0
60,3.0,1.0,1.0,1.0,85.0,3.0,2.1837744,41.4061052,1200.0,0.0,0.0,0,0,1,0,1,0
61,3.0,1.0,1.0,1.0,75.0,3.0,2.1633231,41.375409,850.0,0.0,0.0,0,0,1,0,1,0
62,3.0,1.0,1.0,0.0,65.0,1.0,2.1252489,41.3734713,1050.0,0.0,0.0,0,0,1,0,1,0
63,2.0,2.0,1.0,0.0,75.0,1.0,2.176414,41.3878883,1200.0,0.0,0.0,0,0,1,0,1,0
64,3.0,1.0,1.0,1.0,78.0,6.0,2.122123,41.3802297,1050.0,0.0,0.0,0,0,1,0,1,0
65,4.0,1.0,1.0,0.0,117.0,1.0,2.0317214,41.5594748,675.0,0.0,0.0,0,0,1,0,1,0
66,4.0,2.0,1.0,1.0,85.0,1.0,2.0091023,41.5687212,700.0,0.0,0.0,0,0,1,0,1,0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0
68,1.0,1.0,1.0,0.0,45.0,0.0,2.1593643,41.3712342,650.0,0.0,0.0,0,0,1,0,1,0
69,2.0,1.0,1.0,1.0,66.0,1.0,2.1886201,41.4317519,760.0,0.0,0.0,0,0,1,0,1,0
70,3.0,2.0,1.0,1.0,90.0,3.0,2.1801744,41.4084052,1200.0,0.0,0.0,0,0,1,0,1,0
71,3.0,2.0,1.0,1.0,90.0,3.0,2.1817744,41.4064052,1200.0,0.0,0.0,0,0,1,0,1,0
