rooms,bathrooms,exterior,hasLift,size,floor,longitude,latitude,price,hasParkingSpace,isParkingSpaceIncludedInPrice,priceperarea,type_chalet,type_chalet_independantHouse,type_chalet_semidetachedHouse,type_chalet_terracedHouse,type_flat,type_flat_duplex,type_flat_penthouse,type_flat_studio,good,newdevelopment,renew
1.0,1.0,0.0,1.0,25.0,1.0,2.1574962,41.3964661,595.0,0.0,0.0,1012.5,0,0,0,0,1,0,0,0,1,0,0
4.0,2.0,1.0,1.0,125.0,6.0,2.2165285,41.4083022,2600.0,1.0,1.0,1059.8,0,0,0,0,1,0,0,0,1,0,0
3.0,2.0,1.0,1.0,107.0,6.0,2.2116225,41.4062388,2400.0,0.0,0.0,1059.8,0,0,0,0,1,0,0,0,1,0,0
4.0,2.0,1.0,1.0,130.0,1.0,2.1779788,41.3842834,2000.0,0.0,0.0,786.0,0,0,0,0,1,0,0,0,1,0,0
2.0,1.0,0.0,1.0,70.0,2.0,2.1658619,41.397875,1000.0,0.0,0.0,1012.5,0,0,0,0,1,0,0,0,1,0,0
3.0,1.0,1.0,1.0,75.0,2.0,2.13782,41.35947,750.0,0.0,0.0,542.3,0,0,0,0,1,0,0,0,1,0,0
0.0,1.0,1.0,0.0,30.0,0.0,2.1885794,41.3788783,850.0,0.0,0.0,602.6,0,0,0,0,0,0,0,1,1,0,0
1.0,1.0,1.0,0.0,78.0,4.0,2.1662008,41.3806162,1200.0,0.0,0.0,625.8,0,0,0,0,1,0,0,0,1,0,0
2.0,1.0,1.0,1.0,55.0,1.0,2.1448437,41.3897099,1300.0,0.0,0.0,783.8,0,0,0,0,1,0,0,0,1,0,0
2.0,1.0,1.0,0.0,53.0,1.0,2.1638323,41.3734916,850.0,0.0,0.0,612.1,0,0,0,0,1,0,0,0,1,0,0
4.0,2.0,1.0,1.0,95.0,1.0,2.1765351,41.4250718,900.0,0.0,0.0,612.9,0,0,0,0,1,0,0,0,1,0,0
1.0,1.0,0.0,1.0,45.0,4.0,2.168053,41.3932245,1400.0,0.0,0.0,1012.5,0,0,0,0,1,0,0,0,1,0,0
3.0,1.0,1.0,1.0,95.0,4.0,2.1295172,41.3854309,1500.0,0.0,0.0,856.3,0,0,0,0,1,0,0,0,1,0,0
3.0,2.0,1.0,1.0,85.0,3.0,2.1817744,41.4064052,1200.0,0.0,0.0,713.1,0,0,0,0,1,0,0,0,1,0,0
1.0,1.0,1.0,1.0,60.0,1.0,2.1747399,41.3811611,850.0,0.0,0.0,625.8,0,0,0,0,1,0,0,0,1,0,0
